ranking,title,poster_url
3,Get_Out_(film),https://upload.wikimedia.org/wikipedia/en/a/a3/Get_Out_poster.png
5,Inside_Out_(2015_film),https://upload.wikimedia.org/wikipedia/en/0/0a/Inside_Out_%282015_film%29_poster.jpg
6,The_Godfather,https://upload.wikimedia.org/wikipedia/en/1/1c/Godfather_ver1.jpg
9,Casablanca_(film),https://upload.wikimedia.org/wikipedia/commons/b/b3/CasablancaPoster-Gold.jpg
10,Moonlight_(2016_film),https://upload.wikimedia.org/wikipedia/en/8/84/Moonlight_%282016_film%29.png
12,Snow_White_and_the_Seven_Dwarfs_(1937_film),https://upload.wikimedia.org/wikipedia/en/4/49/Snow_White_1937_poster.png
14,The_Battle_of_Algiers,https://upload.wikimedia.org/wikipedia/en/a/aa/The_Battle_of_Algiers_poster.jpg
15,Dunkirk_(2017_film),https://upload.wikimedia.org/wikipedia/en/1/15/Dunkirk_Film_poster.jpg
16,Repulsion_(film),https://upload.wikimedia.org/wikipedia/en/8/89/Repulsion_%281965_film_poster%29.jpg
17,12_Years_a_Slave_(film),https://upload.wikimedia.org/wikipedia/en/5/5c/12_Years_a_Slave_film_poster.jpg
18,Gravity_(2013_film),https://upload.wikimedia.org/wikipedia/en/f/f6/Gravity_Poster.jpg
20,Spotlight_(film),https://upload.wikimedia.org/wikipedia/en/f/f3/Spotlight_%28film%29_poster.jpg
21,Rear_Window,https://upload.wikimedia.org/wikipedia/commons/3/38/Rear_Window_film_poster.jpg
22,Selma_(film),https://upload.wikimedia.org/wikipedia/en/8/8f/Selma_poster.jpg
23,Taxi_Driver,https://upload.wikimedia.org/wikipedia/en/3/33/Taxi_Driver_%281976_film_poster%29.jpg
25,Argo_(2012_film),https://upload.wikimedia.org/wikipedia/en/e/e1/Argo2012Poster.jpg
26,Toy_Story_2,https://upload.wikimedia.org/wikipedia/en/c/c0/Toy_Story_2.jpg
27,The_Big_Sick,https://upload.wikimedia.org/wikipedia/en/6/69/The_Big_Sick.jpg
28,Zootopia,https://upload.wikimedia.org/wikipedia/en/9/96/Zootopia_%28movie_poster%29.jpg
30,Wonder_Woman_(2017_film),https://upload.wikimedia.org/wikipedia/en/b/b0/Wonder_Woman_%282017_film%29_poster.jpg
31,12_Angry_Men_(1957_film),https://upload.wikimedia.org/wikipedia/commons/b/b5/12_Angry_Men_%281957_film_poster%29.jpg
33,Logan_(film),https://upload.wikimedia.org/wikipedia/en/3/37/Logan_2017_poster.jpg
35,Arrival_(film),https://upload.wikimedia.org/wikipedia/en/d/df/Arrival%2C_Movie_Poster.jpg
36,Baby_Driver,https://upload.wikimedia.org/wikipedia/en/8/8e/Baby_Driver_poster.jpg
37,Star_Wars:_The_Force_Awakens,https://upload.wikimedia.org/wikipedia/en/a/a2/Star_Wars_The_Force_Awakens_Theatrical_Poster.jpg
38,Manchester_by_the_Sea_(film),https://upload.wikimedia.org/wikipedia/en/d/de/Manchester_by_the_Sea.jpg
39,Dr._Strangelove,https://upload.wikimedia.org/wikipedia/en/e/e6/Dr._Strangelove_poster.jpg
40,The_Dark_Knight_(film),https://upload.wikimedia.org/wikipedia/en/1/1c/The_Dark_Knight_%282008_film%29.jpg
42,The_Conformist_(film),https://upload.wikimedia.org/wikipedia/en/7/78/The_Conformist_poster.jpg
45,Finding_Nemo,https://upload.wikimedia.org/wikipedia/en/2/29/Finding_Nemo.jpg
47,The_Wrestler_(2008_film),https://upload.wikimedia.org/wikipedia/en/3/3e/The_Wrestler_poster.jpg
49,L.A._Confidential_(film),https://upload.wikimedia.org/wikipedia/en/d/d8/La_confidential.jpg
51,"The_Good,_the_Bad_and_the_Ugly",https://upload.wikimedia.org/wikipedia/en/4/45/Good_the_bad_and_the_ugly_poster.jpg
52,Skyfall,https://upload.wikimedia.org/wikipedia/en/a/a7/Skyfall_poster.jpg
55,Hell_or_High_Water_(film),https://upload.wikimedia.org/wikipedia/en/8/8f/Hell_or_High_Water_film_poster.png
56,Pinocchio_(1940_film),https://upload.wikimedia.org/wikipedia/en/b/ba/Pinocchio-1940-poster.jpg
58,La_La_Land_(film),https://upload.wikimedia.org/wikipedia/en/a/ab/La_La_Land_%28film%29.png
61,Apocalypse_Now,https://upload.wikimedia.org/wikipedia/en/c/c2/Apocalypse_Now_poster.jpg
63,The_Wages_of_Fear,https://upload.wikimedia.org/wikipedia/en/f/f4/SalairedelapeurR350.jpg
64,The_Last_Picture_Show,https://upload.wikimedia.org/wikipedia/en/8/8f/The_Last_Picture_Show_%28movie_poster%29.jpg
65,Harry_Potter_and_the_Deathly_Hallows_â€“_Part_2,https://upload.wikimedia.org/wikipedia/en/d/df/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2.jpg
70,Toy_Story,https://upload.wikimedia.org/wikipedia/en/1/13/Toy_Story.jpg
71,The_Godfather_Part_II,https://upload.wikimedia.org/wikipedia/en/0/03/Godfather_part_ii.jpg
